No.,Stock code,Company name,Time,ROA,Debt to equity,P/E,Trailing EPS,ROE,EV/EBITDA,"Market capitalization
",P/B
1,AAA,CTCP Nhựa An Phát Xanh,Quarter 1 Year 2021,85,9606,1211,1371,184,3033,3.68122E+12,89
2,AAM,CTCP Thủy sản MeKong,Quarter 1 Year 2021,-53,211,-814,439,-57,,1.11828E+11,58
3,AAT,CTCP Tập Đoàn Tiên Sơn Thanh Hóa ,Quarter 1 Year 2021,144,2527,2359,1617,207,,4.3674E+11,101
4,ABR,CTCP Đầu tư Nhãn hiệu Việt,Quarter 1 Year 2021,138,0,2648,1416,168,,4.62E+11,192
5,ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,Quarter 1 Year 2021,15,3785,3794,1460,31,,3.68E+12,406
6,ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre,Quarter 1 Year 2021,313,1851,1161,338,405,,3.49517E+11,84
7,ACB,Ngân hàng TMCP Á Châu,Quarter 1 Year 2021,56,1865,753,5511,677,,7.19799E+13,190
8,ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC,Quarter 1 Year 2021,181,5599,391,4442,327,,5.145E+11,109
10,ACL,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,Quarter 1 Year 2021,67,11754,1365,5094,156,,6.62099E+11,94
11,ADG,CTCP Clever Group,Quarter 1 Year 2021,108,3974,3131,2367,193,,1.01342E+12,407
12,ADS,CTCP Damsan,Quarter 1 Year 2021,86,15729,1026,2556,369,2723,4.60339E+11,104
13,AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,Quarter 1 Year 2021,5,9937,794,1543,24,8081,3.48794E+12,153
14,AGM,CTCP Xuất Nhập khẩu An Giang,Quarter 1 Year 2021,32,9015,1045,-214,59,,2.5298E+11,57
15,AGR,CTCP Chứng khoán Agribank,Quarter 1 Year 2021,164,0,2054,-7541,178,,2.4816E+12,120
16,AMD,CTCP Đầu tư và Khoáng sản FLC Stone,Quarter 1 Year 2021,8,1757,3598,693,10,5246,6.5729E+11,33
17,ANV,CTCP Nam Việt,Quarter 1 Year 2021,132,8014,1301,-914,270,,2.89216E+12,121
18,APC,CTCP Chiếu xạ An Phú,Quarter 1 Year 2021,98,5178,1215,5300,155,,4.87673E+11,75
19,APG,CTCP Chứng khoán APG,Quarter 1 Year 2021,210,0,981,-453,217,,3.15788E+11,77
20,APH,CTCP Tập đoàn An Phát Holdings,Quarter 1 Year 2021,18,11818,6995,-1445,44,4086,6.78695E+12,152
21,ASG,CTCP Tập đoàn ASG,Quarter 1 Year 2021,84,3983,2372,-58,126,5535,2.2444E+12,170
22,ASM,CTCP Tập đoàn Sao Mai,Quarter 1 Year 2021,64,11736,839,1173,164,3051,3.92185E+12,56
23,ASP,CTCP Tập đoàn Dầu khí An Pha,Quarter 1 Year 2021,35,11797,550,1916,125,2054,2.72952E+11,53
24,AST,CTCP Dịch vụ Hàng không Taseco,Quarter 1 Year 2021,-499,827,-2971,57,-577,-12677,2.7675E+12,544
26,BBC,CTCP Bibica,Quarter 1 Year 2021,50,1354,936,2458,68,,9.4221E+11,85
27,BCE,CTCP Xây dựng và Giao thông Bình Dương,Quarter 1 Year 2021,103,2254,912,10057,253,,4.4625E+11,107
28,BCG,CTCP Tập đoàn Bamboo Capital,Quarter 1 Year 2021,44,16553,575,-1015,305,2095,3.01133E+12,63
29,BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp – CTCP,Quarter 1 Year 2021,96,8241,2919,759,267,10068,5.95125E+13,349
30,BFC,CTCP Phân bón Bình Điền,Quarter 1 Year 2021,181,7667,691,1549,453,1576,1.2577E+12,101
31,BHN,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Hà Nội,Quarter 1 Year 2021,89,537,1928,2511,117,8962,1.64578E+13,322
32,BIC,Tổng Công ty cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,Quarter 1 Year 2021,134,0,840,2110,672,,2.52145E+12,215
33,BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Quarter 1 Year 2021,17,62,2042,2682,327,,1.72746E+14,210
34,BKG,CTCP Đầu tư BKG Việt Nam,Quarter 1 Year 2021,128,933,1956,3608,152,4387,3.744E+11,98
35,BMC,CTCP Khoáng sản Bình Định,Quarter 1 Year 2021,54,0,1652,463,67,,2.23067E+11,110
36,BMI,Tổng Công ty cổ phần Bảo Minh,Quarter 1 Year 2021,104,0,1078,1722,768,,2.3478E+12,257
37,BMP,CTCP Nhựa Bình Minh,Quarter 1 Year 2021,284,231,950,2669,345,,4.77249E+12,200
38,BRC,CTCP Cao su Bến Thành,Quarter 1 Year 2021,187,1531,771,8505,264,,1.70775E+11,80
39,BSI,CTCP Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam,Quarter 1 Year 2021,178,9700,717,1532,403,,1.78709E+12,116
40,BTP,CTCP Nhiệt điện Bà Rịa,Quarter 1 Year 2021,103,3024,978,837,148,,8.95187E+11,72
41,BTT,CTCP Thương mại Dịch vụ Bến Thành,Quarter 1 Year 2021,40,0,7093,1283,54,,7.155E+11,195
42,BVH,Tập đoàn Bảo Việt,Quarter 1 Year 2021,32,1875,2336,1792,632,6534,4.42424E+13,596
43,BWE,CTCP Nước - Môi trường Bình Dương,Quarter 1 Year 2021,205,10045,884,2041,500,2642,5.94375E+12,170
44,C32,CTCP CIC39,Quarter 1 Year 2021,79,4391,625,3890,136,3712,4.26856E+11,77
45,C47,CTCP Xây dựng 47,Quarter 1 Year 2021,32,20556,859,1750,165,2187,2.36835E+11,77
46,CAV,CTCP Dây Cáp điện Việt Nam,Quarter 1 Year 2021,90,18643,986,523,330,,3.62183E+12,221
47,CCI,CTCP Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,Quarter 1 Year 2021,133,0,935,6684,341,,2.87674E+11,112
48,CCL,CTCP Đầu Tư và Phát triển Đô Thị Dầu khí Cửu Long,Quarter 1 Year 2021,189,5325,930,1420,384,2821,6.74498E+11,115
49,CDC,CTCP Chương Dương,Quarter 1 Year 2021,68,8767,1051,1116,224,6596,3.41925E+11,134
50,CHP,CTCP Thủy điện Miền Trung,Quarter 1 Year 2021,-184,7920,1211,929,-339,,2.73258E+12,150
51,CIG,CTCP COMA 18,Quarter 1 Year 2021,1,11386,-135,3349,6,34472,2.21095E+11,142
52,CII,CTCP Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,Quarter 1 Year 2021,1,22031,10025,-13,6,4395,6.10232E+12,79
53,CKG,CTCP Tập đoàn Tư vấn Đầu tư Xây dựng Kiên Giang,Quarter 1 Year 2021,95,17146,491,2936,594,5182,7.79622E+11,84
54,CLC,CTCP Cát Lợi,Quarter 1 Year 2021,245,159,793,1976,313,,1.00637E+12,133
55,CLL,CTCP Cảng Cát Lái,Quarter 1 Year 2021,307,20,1291,5359,335,,1.0846E+12,167
56,CLW,CTCP Cấp nước Chợ Lớn,Quarter 1 Year 2021,148,2315,1658,2822,303,,4.355E+11,188
57,CMG,CTCP Tập đoàn Công nghệ CMC,Quarter 1 Year 2021,86,5531,1800,2327,187,3174,3.6E+12,151
58,CMV,CTCP Thương nghiệp Cà Mau,Quarter 1 Year 2021,124,10213,802,2610,342,,3.01387E+11,122
59,CMX,CTCP Camimex Group,Quarter 1 Year 2021,53,11885,827,1313,148,2628,4.69815E+11,83
60,CNG,CTCP CNG Việt Nam,Quarter 1 Year 2021,147,89,1266,913,289,,6.45292E+11,124
61,COM,CTCP Vật tư Xăng Dầu,Quarter 1 Year 2021,253,0,1493,4697,292,,6.56609E+11,144
