STT,Mã CK,Tên công ty,Sàn CK,"4. Giá vốn hàng bán [Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","4. Giá vốn hàng bán [Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Kiểm toán, ĐVT: VND]","4. Giá vốn hàng bán [Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Chưa kiểm toán, ĐVT: VND]","A. TÀI SẢN NGẮN HẠN[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","I. Nợ ngắn hạn[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","IV. Hàng tồn kho[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","1. Doanh thu bán hàng và cung cấp dịch vụ [Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","3. Doanh thu thuần về bán hàng và cung cấp dịch vụ[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","III. Các khoản phải thu ngắn hạn[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","I. Các khoản phải thu dài hạn[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","A. NỢ PHẢI TRẢ[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","I. Vốn chủ sở hữu[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","II. Tài sản cố định[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","TỔNG CỘNG NGUỒN VỐN[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","11. Lợi nhuận sau thuế chưa phân phối[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","TỔNG CỘNG TÀI SẢN[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","   Trong đó :Chi phí lãi vay[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","Chi phí lãi vay[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","Khấu hao TSCĐ và BĐSĐT[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","Giá vốn hàng bán/Doanh thu thuần[Năm: 2021, ĐVT: %]","Tỷ số thanh toán nhanh[Năm: 2021, ĐVT: Lần]","Tỷ số thanh toán hiện hành (ngắn hạn)[Năm: 2021, ĐVT: Lần]","Khả năng thanh toán lãi vay[Năm: 2021, ĐVT: Lần]","Tăng trưởng  doanh thu thuần[Năm: 2021, ĐVT: %]","Tăng trưởng tổng tài sản[Năm: 2021, ĐVT: %]","Tăng trưởng vốn chủ sở hữu[Năm: 2021, ĐVT: %]","Tăng trưởng lợi nhuận trước thuế [Năm: 2021, ĐVT: %]","Tăng trưởng  lợi nhuận gộp[Năm: 2021, ĐVT: %]","Lợi nhuận trước thuế và lãi vay (EBIT)[Năm: 2021, ĐVT: đồng]","Lợi nhuận trước thuế, lãi vay và khấu hao (EBITDA)[Năm: 2021, ĐVT: đồng]","Tỷ số dòng tiền HĐKD trên doanh thu thuần[Năm: 2021, ĐVT: %]",Ngành NAICS cấp 1,Ngày giao dịch đầu tiên
1,A32,CTCP 32,UPCOM,"578,731,775,257 ","578,731,775,257 ",,"401,956,113,112 ","289,745,705,674 ","192,225,986,980 ","650,148,136,248 ","650,148,136,248 ","112,325,433,320 ",,"289,745,705,674 ","238,057,190,324 ","114,253,527,600 ","528,130,895,998 ","45,024,189,238 ","528,130,895,998 ",,,,89.02 ,0.72 ,1.39 ,0.00 ,(10.77),8.16 ,(1.72),(17.46),(10.28),"41,749,995,928 ","48,838,765,330 ",10.29 ,Sản xuất,23-10-2018
2,AAA,CTCP Nhựa An Phát Xanh,HOSE,"11,841,734,480,539 ","11,841,734,480,539 ","11,852,811,922,819 ","5,354,610,509,760 ","3,282,339,419,557 ","997,384,835,429 ","13,154,009,928,330 ","13,143,109,864,001 ","1,795,468,441,466 ","278,966,433,205 ","4,555,144,898,241 ","5,454,381,737,050 ","2,100,839,611,952 ","10,009,526,635,291 ","706,493,529,920 ","10,009,526,635,291 ","151,665,660,549 ","160,990,151,352 ","315,934,993,090 ",90.10 ,1.33 ,1.63 ,3.62 ,76.93 ,16.81 ,35.55 ,24.82 ,67.50 ,"549,533,712,545 ","865,468,705,635 ",3.38 ,Sản xuất,25-11-2016
3,AAM,CTCP Thủy sản MeKong,HOSE,"126,638,446,298 ","126,638,446,298 ","126,638,446,298 ","163,042,481,781 ","5,544,333,271 ","84,836,260,629 ","134,110,305,244 ","134,110,305,244 ","7,766,546,518 ",,"6,761,017,862 ","194,326,489,821 ","26,236,639,402 ","201,087,507,683 ","(1,774,626,024)","201,087,507,683 ","99,939,316 ","99,939,316 ","3,114,330,669 ",94.43 ,14.11 ,29.41 ,3.28 ,10.94 ,(4.62),0.12 ,(98.10),"4,982.99 ","327,519,670 ","3,441,850,339 ",33.79 ,Sản xuất,24-09-2009
4,AAT,CTCP Tập Đoàn Tiên Sơn Thanh Hóa ,HOSE,"415,233,741,318 ","415,233,741,318 ","415,794,428,822 ","343,223,419,995 ","115,701,731,526 ","17,819,372,760 ","473,174,997,084 ","473,174,997,084 ","211,634,262,990 ","55,000,000,000 ","307,875,600,855 ","668,736,814,476 ","434,928,202,407 ","976,612,415,331 ","30,474,424,476 ","976,612,415,331 ","10,174,216,357 ",,,87.75 ,2.81 ,2.97 ,4.61 ,64.81 ,68.42 ,57.37 ,96.99 ,60.51 ,"46,872,787,454 ","71,559,573,594 ",10.18 ,Bán buôn,24-03-2021
5,AAV,CTCP AAV Group,HNX,"449,882,976,432 ","449,882,976,432 ","449,882,976,432 ","662,151,240,344 ","133,492,833,201 ","13,930,491,386 ","500,844,443,428 ","500,844,443,428 ","635,484,543,500 ","52,720,492,905 ","185,198,594,703 ","806,780,814,611 ","23,068,487,061 ","991,979,409,314 ","26,477,945,344 ","991,979,409,314 ","3,278,915,163 ","3,278,915,163 ","3,629,315,808 ",89.82 ,4.86 ,4.96 ,12.76 ,54.75 ,65.13 ,108.21 ,117.04 ,60.67 ,"41,845,137,531 ","45,474,453,339 ",(73.75),Bán buôn,25-06-2018
6,ABC,CTCP Truyền thông VMG,UPCOM,"1,466,128,557,474 ","1,466,128,557,474 ","1,464,611,314,602 ","669,701,519,000 ","1,144,131,582,983 ","16,433,245,975 ","1,525,844,516,284 ","1,525,530,077,939 ","351,453,933,291 ","3,441,175,000 ","1,151,262,539,351 ","(227,093,315,382)","30,085,387,462 ","924,169,223,969 ","(719,206,271,134)","924,169,223,969 ","8,151,168,030 ","8,151,168,030 ","8,431,776,543 ",96.11 ,0.57 ,0.59 ,(70.46),(54.75),4.91 ,(162.58),(446.30),(23.07),"(574,334,005,868)","(565,902,229,325)",(0.32),Công nghệ và thông tin,18-08-2016
7,ABR,CTCP Đầu tư Nhãn hiệu Việt,HOSE,"46,670,212,316 ","46,670,212,316 ","46,693,511,478 ","236,539,139,007 ","52,752,149,490 ","407,812,936 ","91,154,043,167 ","91,154,043,167 ","41,804,446,989 ","175,282,530 ","56,749,743,771 ","255,765,164,585 ","14,710,044,990 ","312,514,908,356 ","55,765,164,585 ","312,514,908,356 ",,,"9,863,027,470 ",51.20 ,4.48 ,4.48 ,0.00 ,(7.23),10.65 ,8.17 ,(22.80),(15.66),"23,470,767,691 ","33,333,795,161 ",14.54 ,Bán buôn,03-03-2022
8,ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,HOSE,"1,140,220,607,026 ","1,140,220,607,026 ","1,140,220,607,026 ","1,282,110,103,493 ","666,155,125,424 ","20,203,291,172 ","1,198,699,189,061 ","1,198,652,069,061 ","917,672,393,436 ","221,400,000,000 ","666,547,625,424 ","926,404,122,645 ","13,009,863,399 ","1,592,951,748,069 ","83,784,479,469 ","1,592,951,748,069 ","33,363,592,601 ",,,95.13 ,1.89 ,1.92 ,3.46 ,8.58 ,36.14 ,112.83 ,36.31 ,(30.42),"115,352,346,496 ","115,475,087,609 ",(46.95),Bán buôn,18-03-2020
9,ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre,HOSE,"276,870,531,229 ","276,870,531,229 ","276,870,531,229 ","295,336,129,083 ","171,507,973,886 ","176,659,207,314 ","343,461,764,566 ","341,647,434,418 ","49,004,070,602 ",,"175,678,304,886 ","418,595,693,926 ","62,639,843,711 ","594,273,998,812 ","27,440,116,566 ","594,273,998,812 ","2,063,842,024 ","2,063,842,024 ","7,996,373,612 ",81.04 ,0.69 ,1.72 ,18.63 ,7.40 ,9.31 ,1.93 ,122.29 ,74.48 ,"38,442,548,286 ","46,438,921,898 ",(0.56),Sản xuất,25-12-2006
10,AC4,CTCP ACC-244,OTC,"336,165,982,763 ","336,165,982,763 ",,"294,541,513,431 ","249,822,935,152 ","39,514,935,625 ","360,803,621,987 ","355,185,345,892 ","141,281,378,275 ",,"249,822,935,152 ","46,919,492,532 ","2,124,254,629 ","296,742,427,684 ","6,637,037,391 ","296,742,427,684 ","48,017,178 ","48,017,178 ","1,063,232,808 ",94.65 ,1.02 ,1.18 ,126.88 ,(25.08),(9.57),(3.08),(39.29),(5.56),"6,092,355,015 ","7,155,587,823 ",34.72 ,Xây dựng và Bất động sản,08-02-2017
