Stock code,Company name,Exchange,Sector (NAICS) Level 1,Attribute.2.1.2,ROE,ROA,Cash ratio,Debt to equity,P/B,P/E,TOTAL ASSETS ,Size
HU1,CTCP Đầu tư và Xây dựng HUD1,HOSE,Construction and Real Estate,2021,-255,-48,7,5583,93,-3583,6.62917E+11,27.2199158
HU3,CTCP Đầu tư và Xây dựng HUD3,HOSE,Construction and Real Estate,2021,44,22,7,4473,65,14510,3.46707E+11,26.57174557
TCL,CTCP Đại lý Giao nhận Vận tải Xếp dỡ Tân Cảng,HOSE,Transportation and Warehousing,2021,1866,1236,13,532,208,1063,8.87248E+11,27.51139015
HTN,CTCP Hưng Thịnh Incons,HOSE,Construction and Real Estate,2021,1900,364,7,12900,264,906,7.68806E+12,29.67068899
HTV,CTCP Logistics Vicem,HOSE,Transportation and Warehousing,2021,518,414,15,,58,1119,4.22675E+11,26.76986889
TCM,CTCP Dệt may - Đầu tư - Thương mại Thành Công,HOSE,Manufacturing,2021,858,436,15,5871,272,3072,3.60639E+12,28.91372856
HUB,CTCP Xây lắp Thừa Thiên Huế,HOSE,Construction and Real Estate,2021,1147,695,38,323,136,1214,7.91873E+11,27.39766711
TCD,CTCP Đầu tư Phát triển Công nghiệp và Vận tải,HOSE,Construction and Real Estate,2021,3183,512,9,5060,172,661,5.76974E+12,29.38364818
HVX,CTCP Xi măng VICEM Hải Vân,HOSE,Manufacturing,2021,20,11,2,4757,78,38963,7.65739E+11,27.36410682
IBC,CTCP Đầu tư Apax Holdings,HOSE,"Professional, Scientific, and Technical Services",2021,862,284,42,12897,109,1491,4.62772E+12,29.16308631
TCH,CTCP Đầu tư Dịch vụ Tài chính Hoàng Huy,HOSE,Construction and Real Estate,2021,378,320,39,669,138,2977,1.46679E+13,30.31668123
HVH,CTCP Đầu tư và Công nghệ HVC,HOSE,Construction and Real Estate,2021,295,177,19,1911,103,4169,7.17762E+11,27.29940347
HVN,Tổng Công ty Hàng không Việt Nam - CTCP,HOSE,Transportation and Warehousing,2021,-39133,-2055,4,663851,9779,-274,6.30577E+13,31.77507189
TDC,CTCP Kinh doanh và Phát triển Bình Dương,HOSE,Construction and Real Estate,2021,941,221,2,13327,219,2318,5.2398E+12,29.28730375
HRC,CTCP Cao su Hòa Bình,HOSE,Manufacturing,2021,406,231,16,4949,291,7253,8.47791E+11,27.4659003
HSG,CTCP Tập đoàn Hoa Sen,HOSE,Manufacturing,2021,4952,1944,3,6311,170,408,2.6618E+13,30.91260992
TDG,CTCP Đầu tư TDG GLOBAL,HOSE,Wholesale Trade,2021,761,310,3,8854,91,1238,5.70787E+11,27.07028138
HPX,CTCP Đầu tư Hải Phát,HOSE,Construction and Real Estate,2021,699,295,18,13305,287,3689,9.57859E+12,29.89055169
HQC,CTCP Tư vấn Thương mại Dịch vụ Địa Ốc Hoàng Quân,HOSE,Construction and Real Estate,2021,10,5,1,30,97,100935,9.32677E+12,29.86390975
TCT,CTCP Cáp treo Núi Bà Tây Ninh,HOSE,Transportation and Warehousing,2021,55,52,370,,163,29384,3.07553E+11,26.45191432
HTI,CTCP Đầu tư Phát triển Hạ tầng IDICO,HOSE,Construction and Real Estate,2021,790,225,15,18954,104,1327,1.55604E+12,28.07316377
HTL,CTCP Kỹ thuật và Ô tô Trường Long,HOSE,Wholesale Trade,2021,1394,774,49,929,132,981,3.37758E+11,26.54559686
TCO,CTCP Vận tải Đa phương thức Duyên Hải,HOSE,Transportation and Warehousing,2021,1835,1587,14,1430,140,846,3.77544E+11,26.65695282
HSL,CTCP Đầu tư Phát triển Thực phẩm Hồng Hà,HOSE,Agriculture Production,2021,630,545,9,1445,64,1000,3.27071E+11,26.51344315
HT1,CTCP Xi Măng Vicem Hà Tiên,HOSE,Manufacturing,2021,698,391,8,3114,165,2311,8.80919E+12,29.80681627
TCR,CTCP Công nghiệp Gốm sứ Taicera,HOSE,Manufacturing,2021,243,119,9,5738,75,3131,9.7733E+11,27.60809011
SVD,CTCP Đầu tư & Thương mại Vũ Đăng,HOSE,Manufacturing,2021,777,291,6,12858,87,1164,3.70504E+11,26.63812947
KDH,CTCP Đầu tư và Kinh doanh Nhà Khang Điền,HOSE,Construction and Real Estate,2021,1309,850,61,2497,321,2543,1.43727E+13,30.29635164
KHG,CTCP Tập đoàn Khải Hoàn Land,HOSE,Construction and Real Estate,2021,1281,941,48,1400,136,979,6.42034E+12,29.4904922
SVI,CTCP Bao bì Biên Hòa,HOSE,Manufacturing,2021,1534,819,13,1821,142,975,1.16005E+12,27.77948145
